ModuleCode,FeatureName,BusinessDomain,BusinessCode,Category,Parent,Priority,InScopeR17,SourceDoc,CoveredByTM,ExtensionNeeded,Method,Description,TechStack,Dependencies,SLA,GapStatus
TM001,Party Master UBO KYC,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM001,No,ƒ?? Core,Party UBO KYC GDPR SCD2,J21,,99.99%,Covered
TM002,GL Accounts DDA Savings,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM002,No,ƒ?? Core,GL DDA Savings Multi-ccy Posting Interest,J21,,99.99%,Covered
TM003,Product Catalog Rules DSL,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM003,No,ƒ?? Core,Product Catalog Versioning Rules,J21,,99.90%,Covered
TM004,Pricing Tables Curves Spreads,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM004,No,ƒ?? Core,Pricing tables and curves,J21,,99.90%,Covered
TM005,Currency FX Rates Holidays,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM005,No,ƒ?? Core,Currency FX Rates Holidays,J21,,99.90%,Covered
TM006,Payments Engine,Payments,,PAY,demo-bank-payments,P1,Y,Digital,TM006,No,ƒ?? Core,ACH Wire Instant Saga,J21,,99.99%,Covered
TM007,Limits Framework v1,Core Banking,,CORE,demo-bank-core,P1,N,Digital,TM007,No,???? Replaced,Replaced by TM068,J21,,99.90%,Covered
TM008,Tax Engine WHT VAT MMTax,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM008,No,ƒ?? Core,WHT VAT Mobile Money Tax,J21,,99.90%,Covered
TM009,KYC Engine Rules EDD,Security & Compliance,,SEC,demo-bank-security,P1,Y,Digital,TM009,No,ƒ?? Core,KYC Rules EDD,J21,,99.90%,Covered
TM010,System Parameters Calendar,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM010,No,ƒ?? Core,System Params Calendar Cutoffs,J21,,99.90%,Covered
TM011,Web Banking SPA Session,CX,,DX,demo-bank-channels,P1,Y,Digital,TM011,No,ƒ?? Core,Web Banking SPA Session,J21+React,,99.90%,Covered
TM012,Mobile Banking Biometric,CX,,DX,demo-bank-channels,P1,Y,Digital,TM012,No,ƒ?? Core,Mobile Biometric USSD Offline,J21+React,TM096,99.90%,Covered
TM013,Open Banking API PSD2,CX,DX008,DX,demo-bank-channels,P1,Y,Digital,TM013,No,ƒ?? Core,Open Banking API PSD2 Consent,J21,TM065,99.90%,Covered
TM014,Branch Platform 360 View,CX,,DX,demo-bank-channels,P1,Y,Digital,TM014,No,ƒ?? Core,Branch Platform 360 View,J21,TM085,99.90%,Covered
TM015,Teller System Cash Vault,CX,,DX,demo-bank-channels,P1,Y,Digital,TM015,No,ƒ?? Core,Teller Cash Vault EOD,J21,,99.90%,Covered
TM016,Call Center CTI IVR,CX,,DX,demo-bank-channels,P1,Y,Digital,TM016,No,ƒ?? Core,Call Center CTI IVR,J21,,99.90%,Covered
TM017,ATM Acquiring ISO8583,CX,,DX,demo-bank-channels,P1,Y,Digital,TM017,No,ƒ?? Core,ATM ISO8583 HSM,J21,TM061,99.90%,Covered
TM018,Document Mgmt v1,Operations,,OPS,demo-bank-platform,P1,N,Digital,TM018,No,???? Replaced,Replaced by TM097,J21,,99.90%,Covered
TM019,ATM POS Driving Keys,CX,,DX,demo-bank-channels,P1,Y,Digital,TM019,No,ƒ?? Core,ATM POS Driving Keys,J21,TM061,99.90%,Covered
TM020,Notifications v1,CX,,DX,demo-bank-channels,P1,N,Digital,TM020,No,???? Replaced,Replaced by TM060,J21,,99.90%,Covered
TM021,Workflow v1,Operations,,OPS,demo-bank-platform,P1,N,Digital,TM021,No,???? Replaced,Replaced by TM063 TM069,J21,,99.90%,Covered
TM022,Collateral Mgmt Valuation,Lending & Credit,,LEND,demo-bank-services,P1,Y,Digital,TM022,No,ƒ?? Core,Collateral Valuation Liens,J21,,99.90%,Covered
TM023,Covenants Tests Breach,Lending & Credit,,LEND,demo-bank-services,P1,Y,Digital,TM023,No,ƒ?? Core,Covenants Tests Breach,J21,,99.90%,Covered
TM024,Syndication Agent Participant,Lending & Credit,,LEND,demo-bank-services,P1,Y,Digital,TM024,No,ƒ?? Core,Syndication Agent Participant,J21,,99.90%,Covered
TM025,Leasing Residual Buyout,Lending & Credit,,LEND,demo-bank-services,P1,Y,Digital,TM025,No,ƒ?? Core,Leasing Residual Buyout,J21,,99.90%,Covered
TM026,Factoring Invoices Recourse,Lending & Credit,,LEND,demo-bank-services,P1,Y,Digital,TM026,No,ƒ?? Core,Factoring Invoices Recourse,J21,,99.90%,Covered
TM027,Reference Data BIC Countries,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM027,No,ƒ?? Core,Reference Data BIC Countries,J21,,99.90%,Covered
TM028,Address Mgmt Validate Geocode,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM028,No,ƒ?? Core,Address Validation Geocode,J21,,99.90%,Covered
TM029,Relationship Pricing v1,Core Banking,,CORE,demo-bank-core,P1,N,Digital,TM029,No,???? Replaced,Replaced by TM077,J21,,99.90%,Covered
TM030,Cards Issuing Acq Auth,CX,AM001,CARD,demo-bank-payments,P1,Y,Digital,TM030,No,ƒ?? Core,Cards Issuing Acq Auth Disputes Contactless,J21,TM089,99.99%,Covered
TM031,FX MM Spot Fwd Swap,Payments,,PAY,demo-bank-payments,P1,Y,Digital,TM031,No,ƒ?? Core,FX MM Spot Fwd Swap SWIFT,J21,,99.90%,Covered
TM032,Loans Core Retail SME Corp,Lending & Credit,,LEND,demo-bank-services,P1,Y,Digital,TM032,No,ƒ?? Core,Loans Core Schedules,J21,TM090,99.90%,Covered
TM033,Term Deposits Auto-renew,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM033,No,ƒ?? Core,Term Deposits Auto-renew Sweep,J21,TM091,99.90%,Covered
TM034,Trade Finance LC Guarantees,Trade Finance,,TF,demo-bank-services,P1,Y,Digital,TM034,No,ƒ?? Core,Trade Finance LC Guarantees Docs,J21,TM092,99.90%,Covered
TM035,Billing v1,Core Banking,,CORE,demo-bank-core,P1,N,Digital,TM035,No,???? Replaced,Replaced by TM099,J21,,99.90%,Covered
TM036,Rewards Loyalty Points,CX,,CX,demo-bank-analytics,P1,Y,Digital,TM036,No,ƒ?? Core,Rewards Loyalty Points,J21,TM085,99.90%,Covered
TM037,Insurance Broker Policies,Financial Planning,FP003,FP,demo-bank-services,P1,Y,Digital,TM037,No,ƒ?? Core,Insurance Policies Claims,J21,,99.90%,Covered
TM038,Wealth Mgmt Advisory OMS,Financial Planning,FP001,FP,demo-bank-services,P1,Y,Digital,TM038,No,ƒ?? Core,Wealth Advisory OMS,J21,TM102,99.90%,Covered
TM039,Custody Corp Actions,Financial Planning,,FP,demo-bank-services,P1,Y,Digital,TM039,No,ƒ?? Core,Custody Corp Actions Securities,J21,,99.90%,Covered
TM040,Escrow Multi-sign Disputes,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM040,No,ƒ?? Core,Escrow Multi-sign Disputes,J21,,99.90%,Covered
TM041,Sanctions v1,Risk & Compliance,,SEC,demo-bank-security,P1,N,Digital,TM041,No,???? Replaced,Replaced by TM043,J21,,99.90%,Covered
TM042,PEP Adverse Media,Risk & Compliance,,SEC,demo-bank-security,P1,Y,Digital,TM042,No,ƒ?? Core,PEP Adverse Media,J21,TM043,99.90%,Covered
TM043,Sanctions Screening,Risk & Compliance,SC001,SEC,demo-bank-security,P1,Y,Digital,TM043,No,ƒ?? Core,Sanctions Fuzzy Real-time,J21,,99.99%,Covered
TM044,AML Scenarios v1,Risk & Compliance,,SEC,demo-bank-security,P1,N,Digital,TM044,No,???? Replaced,Replaced by TM078,J21,,99.90%,Covered
TM045,Fraud Rules v1,Risk & Compliance,,SEC,demo-bank-security,P1,N,Digital,TM045,No,???? Replaced,Replaced by TM081,J21,,99.90%,Covered
TM046,Credit Bureau Scores,Risk & Compliance,,RISK,demo-bank-security,P1,Y,Digital,TM046,No,ƒ?? Core,Credit Bureau Scores Reports,J21,TM079,99.90%,Covered
TM047,BI Reporting v1,Analytics & Insights,,AI,demo-bank-analytics,P1,N,Digital,TM047,No,???? Replaced,Replaced by TM075 TM076,J21,,99.90%,Covered
TM048,Regulatory Reports v1,Risk & Compliance,SC001,SEC,demo-bank-security,P1,N,Digital,TM048,No,???? Replaced,Replaced by TM074,J21,,99.90%,Covered
TM049,Credit Risk v1,Risk & Compliance,,RISK,demo-bank-security,P1,N,Digital,TM049,No,???? Replaced,Replaced by TM079,J21,,99.90%,Covered
TM050,Market Risk VaR PV01,Risk & Compliance,,RISK,demo-bank-security,P1,Y,Digital,TM050,No,ƒ?? Core,Market Risk VaR PV01,J21,,99.90%,Covered
TM051,Nostro Mgmt Statements,Treasury,,TRES,demo-bank-treasury,P1,Y,Digital,TM051,No,ƒ?? Core,Nostro Statements,J21,TM093,99.90%,Covered
TM052,Vostro Mgmt Billing,Treasury,,TRES,demo-bank-treasury,P1,Y,Digital,TM052,No,ƒ?? Core,Vostro Billing,J21,TM093,99.90%,Covered
TM053,Liquidity v1,Treasury,,TRES,demo-bank-treasury,P1,N,Digital,TM053,No,???? Replaced,Replaced by TM072,J21,,99.90%,Covered
TM054,Collateral Ops Margin Calls,Treasury,,TRES,demo-bank-treasury,P1,Y,Digital,TM054,No,ƒ?? Core,Collateral Margin Calls,J21,,99.90%,Covered
TM055,SWIFT Bank I/F v1,Payments,,PAY,demo-bank-payments,P1,N,Digital,TM055,No,???? Replaced,Replaced by TM070 TM071,J21,,99.90%,Covered
TM056,Clearing Settlement ACH RTGS,Payments,,PAY,demo-bank-payments,P1,Y,Digital,TM056,No,ƒ?? Core,Clearing Settlement ACH RTGS,J21,TM088,99.99%,Covered
TM057,Exceptions v1,Operations,,OPS,demo-bank-platform,P1,N,Digital,TM057,No,???? Replaced,Replaced by TM069 TM073,J21,,99.90%,Covered
TM058,MIS v1,Analytics & Insights,,AI,demo-bank-analytics,P1,N,Digital,TM058,No,???? Replaced,Replaced by TM074 TM076,J21,,99.90%,Covered
TM059,Calendar EOD COB Chain,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM059,No,ƒ?? Core,Calendar EOD COB Chain,J21,TM064,99.90%,Covered
TM060,Notifications Email SMS,CX,SC013,DX,demo-bank-channels,P1,Y,Digital,TM060,No,ƒ?? Core,Email SMS Push WhatsApp DLQ,J21,,99.90%,Covered
TM061,Security Crypto Key Mgmt,Security & Compliance,SC007,SEC,demo-bank-security,P1,Y,Digital,TM061,No,ƒ?? Core,HSM Vault QRC Tokenization,J21+PY,,99.99%,Covered
TM062,WORM Audit Trails,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM062,No,ƒ?? Core,WORM Storage Audit Trails,J21,TM097,99.90%,Covered
TM063,Workflow Camunda,Operations,,OPS,demo-bank-platform,P1,Y,Digital,TM063,No,ƒ?? Core,Camunda Maker-Checker SLA,J21,TM098,99.90%,Covered
TM064,Core Ledger DDA Multi-ccy,Core Banking,,CORE,demo-bank-core,P1,Y,Digital,TM064,No,ƒ?? Core,Core Ledger DDA Multi-ccy,J21,TM002,99.99%,Covered
TM065,API Gateway OAuth mTLS,Security & Compliance,DX008,SEC,demo-bank-platform,P1,Y,Digital,TM065,No,ƒ?? Core,API Gateway OAuth mTLS RateLimit,J21,,99.99%,Covered
TM066,Data Lake Raw Curated,Analytics & Insights,,AI,demo-bank-analytics,P1,Y,Digital,TM066,No,ƒ?? Core,Data Lake Raw Curated Delta,J21+PY,TM075,99.90%,Covered
TM067,CDC Events Kafka,Platform,,PLAT,demo-bank-platform,P1,Y,Digital,TM067,No,ƒ?? Core,CDC Events Kafka Outbox,J21+Kafka,,99.99%,Covered
